"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"HTA2-pos-JUC04005579.hg.1",4.67570840143369,5.69668548694977,5.88878616365788,5.20796087436414,5.82619466732463,5.89294823038651,6.30548319688271,5.70424571117135,5.48059419811263,5.56171194760483,5.52872307116637,6.13971236899894
"HTA2-pos-JUC04005583.hg.1",6.80047967426189,4.17817730123047,6.00400208561827,6.38474835576103,6.29148502771256,6.59285264001336,6.42371552245462,6.73378558447252,6.27942664933061,6.49244724078834,6.82243227247307,6.57249247945543
"HTA2-pos-JUC04005588.hg.1",7.60813700244991,7.88083875021308,7.87739826159833,7.87933993962766,7.99896533794815,8.13811788241393,8.66686243612019,7.96644028712538,8.00834015126304,7.93131141500968,8.35011522255134,8.01237417984252
"HTA2-pos-JUC04005592.hg.1",8.38440754780969,8.79170749216879,8.93119461737694,8.38619577591167,8.74546329307176,8.89126336379964,8.59651655578272,8.71143381590276,8.94548057635639,9.05431719461943,9.16221718853437,9.12367855090511
"HTA2-pos-JUC05009409.hg.1",8.32338138545674,8.38023610542131,8.11802474681606,8.16534445118797,8.08734428866712,8.50512107649564,8.48219135583724,8.63095138842928,8.26792313123756,8.51908201751297,8.44655237099999,8.26428709945421
"HTA2-pos-JUC06021789.hg.1",13.0234243534708,12.9912693721228,12.9128685340776,12.9266108264785,12.8762920487134,12.9427338343281,13.0163653847887,13.0410930902623,12.9824926413649,13.0082205113219,13.0094146178737,12.956041471127
"HTA2-pos-JUC06021792.hg.1",11.6997436571987,11.7559323993327,11.6680751111827,11.6374775166757,11.7643008873047,11.8735206307249,11.7696293528511,11.8543846624314,11.7377518810158,11.8327257858954,12.0012177933928,11.8500120625011
"HTA2-pos-JUC09010877.hg.1",5.99657803217638,5.86467951258101,6.53020350623431,6.63866024473394,6.95417461498771,6.50346463609647,6.92974595996139,6.69882298657687,6.98219502873272,6.66401150664499,6.58659854553961,6.5693013175373
"HTA2-pos-JUC09010878.hg.1",5.85022151415949,6.04162196708138,5.33371389153642,5.47806336852061,5.50750921810652,5.87789858857032,6.29872783921065,6.52338812499106,6.00076724411819,5.80389216465383,6.10520177462128,5.92979228367126
"HTA2-pos-JUC09010881.hg.1",8.59350588048047,9.04222519658974,9.04520309926041,9.00415183338754,9.02990063073457,9.11463604716805,9.08531694428544,9.17517195069664,8.92949301238071,9.03985874470089,9.39444287965139,9.46347035614077
"HTA2-pos-JUC0X002528.hg.1",5.04965401270664,4.2886373511091,4.59433009961357,2.47038402830281,4.66468649718134,4.29922166128066,5.03338376907546,4.99353702653335,5.46545159085513,4.14404978625667,4.59688807979556,5.04553934505451
"HTA2-pos-JUC11000733.hg.1",10.9287904993484,10.9116291774087,10.9615453851799,11.0755597595784,11.1228202941287,11.0014702380252,11.0960947035234,11.1244294633133,11.2033832053075,11.0694617297695,11.0433795668114,11.0154658634898
